variable,type,var,f_1,f_2,f_3,metric,export_1
ex_loy_kc_other_final,1,Segment A,Existing Customer,Loyalist,Segment A,m_1,Segment A_Existing Customer_Loyalist_Final
ex_loy_kc_fsloy_final,1,Segment B,Existing Customer,Loyalist,Segment B,m_1,Segment B_Existing Customer_Loyalist_Final
ex_loy_kc_iseth_final,1,Segment C,Existing Customer,Loyalist,Segment C,m_1,Segment C_Existing Customer_Loyalist_Final
ex_loy_kc_oleth_final,1,Segment D,Existing Customer,Loyalist,Segment D,m_1,Segment D_Existing Customer_Loyalist_Final
new_nloy_nkc_other_final,1,Segment A,New Customer,Non Loyalist,Segment A,m_1,Segment A_New Customer_Non Loyalist_Final
new_nloy_nkc_fsloy_final,1,Segment B,New Customer,Non Loyalist,Segment B,m_1,Segment B_New Customer_Non Loyalist_Final
new_nloy_nkc_iseth_final,1,Segment C,New Customer,Non Loyalist,Segment C,m_1,Segment C_New Customer_Non Loyalist_Final
new_nloy_nkc_oleth_final,1,Segment D,New Customer,Non Loyalist,Segment D,m_1,Segment D_New Customer_Non Loyalist_Final
new_nloy_kc_other_final,1,Segment A,New Customer,Non Loyalist,Segment A,m_1,Segment A_New Customer_Non Loyalist_Final
new_nloy_kc_fsloy_final,1,Segment B,New Customer,Non Loyalist,Segment B,m_1,Segment B_New Customer_Non Loyalist_Final
new_nloy_kc_iseth_final,1,Segment C,New Customer,Non Loyalist,Segment C,m_1,Segment C_New Customer_Non Loyalist_Final
new_nloy_kc_oleth_final,1,Segment D,New Customer,Non Loyalist,Segment D,m_1,Segment D_New Customer_Non Loyalist_Final
new_loy_nkc_other_final,1,Segment A,New Customer,Loyalist,Segment A,m_1,Segment A_New Customer_Loyalist_Final
new_loy_nkc_fsloy_final,1,Segment B,New Customer,Loyalist,Segment B,m_1,Segment B_New Customer_Loyalist_Final
new_loy_nkc_iseth_final,1,Segment C,New Customer,Loyalist,Segment C,m_1,Segment C_New Customer_Loyalist_Final
new_loy_nkc_oleth_final,1,Segment D,New Customer,Loyalist,Segment D,m_1,Segment D_New Customer_Loyalist_Final
new_loy_kc_other_final,1,Segment A,New Customer,Loyalist,Segment A,m_1,Segment A_New Customer_Loyalist_Final
new_loy_kc_fsloy_final,1,Segment B,New Customer,Loyalist,Segment B,m_1,Segment B_New Customer_Loyalist_Final
new_loy_kc_iseth_final,1,Segment C,New Customer,Loyalist,Segment C,m_1,Segment C_New Customer_Loyalist_Final
new_loy_kc_oleth_final,1,Segment D,New Customer,Loyalist,Segment D,m_1,Segment D_New Customer_Loyalist_Final
ex_nloy_nkc_other_trans,1,Segment A,Existing Customer,Non Loyalist,Segment A,m_2,Segment A_Existing Customer_Non Loyalist_Transaction
ex_nloy_nkc_fsloy_trans,1,Segment B,Existing Customer,Non Loyalist,Segment B,m_2,Segment B_Existing Customer_Non Loyalist_Transaction
ex_nloy_nkc_iseth_trans,1,Segment C,Existing Customer,Non Loyalist,Segment C,m_2,Segment C_Existing Customer_Non Loyalist_Transaction
ex_nloy_nkc_oleth_trans,1,Segment D,Existing Customer,Non Loyalist,Segment D,m_2,Segment D_Existing Customer_Non Loyalist_Transaction
ex_nloy_kc_other_trans,1,Segment A,Existing Customer,Non Loyalist,Segment A,m_2,Segment A_Existing Customer_Non Loyalist_Transaction
ex_nloy_kc_fsloy_trans,1,Segment B,Existing Customer,Non Loyalist,Segment B,m_2,Segment B_Existing Customer_Non Loyalist_Transaction
ex_nloy_kc_iseth_trans,1,Segment C,Existing Customer,Non Loyalist,Segment C,m_2,Segment C_Existing Customer_Non Loyalist_Transaction
ex_nloy_kc_oleth_trans,1,Segment D,Existing Customer,Non Loyalist,Segment D,m_2,Segment D_Existing Customer_Non Loyalist_Transaction
ex_loy_nkc_other_trans,1,Segment A,Existing Customer,Loyalist,Segment A,m_2,Segment A_Existing Customer_Loyalist_Transaction
ex_loy_nkc_fsloy_trans,1,Segment B,Existing Customer,Loyalist,Segment B,m_2,Segment B_Existing Customer_Loyalist_Transaction
ex_loy_nkc_iseth_trans,1,Segment C,Existing Customer,Loyalist,Segment C,m_2,Segment C_Existing Customer_Loyalist_Transaction
ex_loy_nkc_oleth_trans,1,Segment D,Existing Customer,Loyalist,Segment D,m_2,Segment D_Existing Customer_Loyalist_Transaction
ex_loy_kc_other_trans,1,Segment A,Existing Customer,Loyalist,Segment A,m_2,Segment A_Existing Customer_Loyalist_Transaction
ex_loy_kc_fsloy_trans,1,Segment B,Existing Customer,Loyalist,Segment B,m_2,Segment B_Existing Customer_Loyalist_Transaction
ex_loy_kc_iseth_trans,1,Segment C,Existing Customer,Loyalist,Segment C,m_2,Segment C_Existing Customer_Loyalist_Transaction
ex_loy_kc_oleth_trans,1,Segment D,Existing Customer,Loyalist,Segment D,m_2,Segment D_Existing Customer_Loyalist_Transaction
new_nloy_nkc_other_trans,1,Segment A,New Customer,Non Loyalist,Segment A,m_2,Segment A_New Customer_Non Loyalist_Transaction
new_nloy_nkc_fsloy_trans,1,Segment B,New Customer,Non Loyalist,Segment B,m_2,Segment B_New Customer_Non Loyalist_Transaction
new_nloy_nkc_iseth_trans,1,Segment C,New Customer,Non Loyalist,Segment C,m_2,Segment C_New Customer_Non Loyalist_Transaction
new_nloy_nkc_oleth_trans,1,Segment D,New Customer,Non Loyalist,Segment D,m_2,Segment D_New Customer_Non Loyalist_Transaction
new_nloy_kc_other_trans,1,Segment A,New Customer,Non Loyalist,Segment A,m_2,Segment A_New Customer_Non Loyalist_Transaction
new_nloy_kc_fsloy_trans,1,Segment B,New Customer,Non Loyalist,Segment B,m_2,Segment B_New Customer_Non Loyalist_Transaction
new_nloy_kc_iseth_trans,1,Segment C,New Customer,Non Loyalist,Segment C,m_2,Segment C_New Customer_Non Loyalist_Transaction
new_nloy_kc_oleth_trans,1,Segment D,New Customer,Non Loyalist,Segment D,m_2,Segment D_New Customer_Non Loyalist_Transaction
new_loy_nkc_other_trans,1,Segment A,New Customer,Loyalist,Segment A,m_2,Segment A_New Customer_Loyalist_Transaction
new_loy_nkc_fsloy_trans,1,Segment B,New Customer,Loyalist,Segment B,m_2,Segment B_New Customer_Loyalist_Transaction
new_loy_nkc_iseth_trans,1,Segment C,New Customer,Loyalist,Segment C,m_2,Segment C_New Customer_Loyalist_Transaction
new_loy_nkc_oleth_trans,1,Segment D,New Customer,Loyalist,Segment D,m_2,Segment D_New Customer_Loyalist_Transaction
new_loy_kc_other_trans,1,Segment A,New Customer,Loyalist,Segment A,m_2,Segment A_New Customer_Loyalist_Transaction
new_loy_kc_fsloy_trans,1,Segment B,New Customer,Loyalist,Segment B,m_2,Segment B_New Customer_Loyalist_Transaction
new_loy_kc_iseth_trans,1,Segment C,New Customer,Loyalist,Segment C,m_2,Segment C_New Customer_Loyalist_Transaction
new_loy_kc_oleth_trans,1,Segment D,New Customer,Loyalist,Segment D,m_2,Segment D_New Customer_Loyalist_Transaction
