"bdgt_id","dma2_name","chan1_name","dma1_name","client_id","chan1_id","dma2_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"26_12_344_17",NULL,NULL,NULL,12,26,12,344,17,NULL,NULL,NULL
"26_12_344_18",NULL,NULL,NULL,12,26,12,344,18,NULL,NULL,NULL
"26_12_344_19",NULL,NULL,NULL,12,26,12,344,19,NULL,NULL,NULL
"26_12_344_2",NULL,NULL,NULL,12,26,12,344,2,NULL,NULL,NULL
"26_12_344_20",NULL,NULL,NULL,12,26,12,344,20,NULL,NULL,NULL
"26_12_344_21",NULL,NULL,NULL,12,26,12,344,21,NULL,NULL,NULL
"26_12_344_22",NULL,NULL,NULL,12,26,12,344,22,NULL,NULL,NULL
"26_12_344_23",NULL,NULL,NULL,12,26,12,344,23,NULL,NULL,NULL
"26_12_344_24",NULL,NULL,NULL,12,26,12,344,24,NULL,NULL,NULL
"26_12_344_25",NULL,NULL,NULL,12,26,12,344,25,NULL,NULL,NULL
"26_12_344_26",NULL,NULL,NULL,12,26,12,344,26,NULL,NULL,NULL
"26_12_344_27",NULL,NULL,NULL,12,26,12,344,27,NULL,NULL,NULL
"26_12_344_28",NULL,NULL,NULL,12,26,12,344,28,NULL,NULL,NULL
"26_12_344_29",NULL,NULL,NULL,12,26,12,344,29,NULL,NULL,NULL
"26_12_344_3",NULL,NULL,NULL,12,26,12,344,3,NULL,NULL,NULL
"26_12_344_30",NULL,NULL,NULL,12,26,12,344,30,NULL,NULL,NULL
"26_12_344_31",NULL,NULL,NULL,12,26,12,344,31,NULL,NULL,NULL
"26_12_344_32",NULL,NULL,NULL,12,26,12,344,32,NULL,NULL,NULL
"26_12_344_33",NULL,NULL,NULL,12,26,12,344,33,NULL,NULL,NULL
"26_12_344_34",NULL,NULL,NULL,12,26,12,344,34,NULL,NULL,NULL
"26_12_344_35",NULL,NULL,NULL,12,26,12,344,35,NULL,NULL,NULL
"26_12_344_36",NULL,NULL,NULL,12,26,12,344,36,NULL,NULL,NULL
"26_12_344_37",NULL,NULL,NULL,12,26,12,344,37,NULL,NULL,NULL
"26_12_344_38",NULL,NULL,NULL,12,26,12,344,38,NULL,NULL,NULL
"26_12_344_39",NULL,NULL,NULL,12,26,12,344,39,NULL,NULL,NULL
"26_12_344_4",NULL,NULL,NULL,12,26,12,344,4,NULL,NULL,NULL
"26_12_344_40",NULL,NULL,NULL,12,26,12,344,40,NULL,NULL,NULL
"26_12_344_41",NULL,NULL,NULL,12,26,12,344,41,NULL,NULL,NULL
"26_12_344_42",NULL,NULL,NULL,12,26,12,344,42,NULL,NULL,NULL
"26_12_344_43",NULL,NULL,NULL,12,26,12,344,43,NULL,NULL,NULL
"26_12_344_44",NULL,NULL,NULL,12,26,12,344,44,NULL,NULL,NULL
"26_12_344_45",NULL,NULL,NULL,12,26,12,344,45,NULL,NULL,NULL
"26_12_344_46",NULL,NULL,NULL,12,26,12,344,46,NULL,NULL,NULL
"26_12_344_47",NULL,NULL,NULL,12,26,12,344,47,NULL,NULL,NULL
"26_12_344_48",NULL,NULL,NULL,12,26,12,344,48,NULL,NULL,NULL
"26_12_344_49",NULL,NULL,NULL,12,26,12,344,49,NULL,NULL,NULL
"26_12_344_5",NULL,NULL,NULL,12,26,12,344,5,NULL,NULL,NULL
"26_12_344_50",NULL,NULL,NULL,12,26,12,344,50,NULL,NULL,NULL
"26_12_344_51",NULL,NULL,NULL,12,26,12,344,51,NULL,NULL,NULL
"26_12_344_52",NULL,NULL,NULL,12,26,12,344,52,NULL,NULL,NULL
"26_12_344_53",NULL,NULL,NULL,12,26,12,344,53,NULL,NULL,NULL
"26_12_344_6",NULL,NULL,NULL,12,26,12,344,6,NULL,NULL,NULL
"26_12_344_7",NULL,NULL,NULL,12,26,12,344,7,NULL,NULL,NULL
"26_12_344_8",NULL,NULL,NULL,12,26,12,344,8,NULL,NULL,NULL
"26_12_344_9",NULL,NULL,NULL,12,26,12,344,9,NULL,NULL,NULL
"26_14_344_0",NULL,NULL,NULL,12,26,14,344,0,NULL,NULL,NULL
"26_14_344_1",NULL,NULL,NULL,12,26,14,344,1,NULL,NULL,NULL
"26_14_344_10",NULL,NULL,NULL,12,26,14,344,10,NULL,NULL,NULL
"26_14_344_11",NULL,NULL,NULL,12,26,14,344,11,NULL,NULL,NULL
"26_14_344_12",NULL,NULL,NULL,12,26,14,344,12,NULL,NULL,NULL
"26_14_344_13",NULL,NULL,NULL,12,26,14,344,13,NULL,NULL,NULL
"26_14_344_14",NULL,NULL,NULL,12,26,14,344,14,NULL,NULL,NULL
"26_14_344_15",NULL,NULL,NULL,12,26,14,344,15,NULL,NULL,NULL
"26_14_344_16",NULL,NULL,NULL,12,26,14,344,16,NULL,NULL,NULL
"26_14_344_17",NULL,NULL,NULL,12,26,14,344,17,NULL,NULL,NULL
"26_14_344_18",NULL,NULL,NULL,12,26,14,344,18,NULL,NULL,NULL
"26_14_344_19",NULL,NULL,NULL,12,26,14,344,19,NULL,NULL,NULL
"26_14_344_2",NULL,NULL,NULL,12,26,14,344,2,NULL,NULL,NULL
"26_14_344_20",NULL,NULL,NULL,12,26,14,344,20,NULL,NULL,NULL
"26_14_344_21",NULL,NULL,NULL,12,26,14,344,21,NULL,NULL,NULL
"26_14_344_22",NULL,NULL,NULL,12,26,14,344,22,NULL,NULL,NULL
